,Console,Review,Score,Name
8501,PC,Great,8,Tiger Woods PGA Tour 06 
8502,XBOX,Mediocre,5,Zathura 
8503,PS2,Mediocre,5,Zathura 
8504,PS2,Fair,6,Shrek SuperSlam 
8505,PS2,Good,7,Dance Dance Revolution Extreme 2 
8506,DS,Great,8,Mario & Luigi: Partners in Time 
8507,PC,Fair,6,Voyage: A Journey Beyond Reality 
8508,XBOX,Good,7,World Poker Tour 2K6 
8509,DS,Good,7,Mega Man Battle Network 5: Double Team 
8510,PS2,Fair,6,Gretzky NHL '06 
8511,PSP,Fair,6,Gretzky NHL '06 
8512,PS2,Mediocre,5,EyeToy: Operation Spy 
8513,PS2,Fair,6,Trapt 
8514,XBOX,Fair,6,Tecmo Classic Arcade 
8515,DS,Fair,6,Dig Dug: Digging Strike 
8516,PS2,Good,7,Suikoden Tactics 
8517,XBOX,Good,7,Greg Hastings' Tournament Paintball Max'd 
8518,GBA,Mediocre,5,Pong / Asteroids / Yar's Revenge 
8519,X360,Great,8,Ridge Racer 6 
8520,MOBI,Bad,3,Driver: Vegas 
8521,X360,Great,8,Geometry Wars: Retro Evolved 
8522,PS2,Great,8,Legend of Kay 
8523,PSP,Great,8,Street Fighter Alpha 3 MAX 
8524,PS2,Good,7,Wild Arms 4 
8525,PC,Fair,6,Cuban Missile Crisis: The Aftermath 
